Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Crepe, chocolate filled","Pancakes, waffles, French toast",169,4.85,22.8,12.28,0.2,6.37,1.816,3.068,0.905,58,0.086,0.182,0.601,0.051,9,47.6,0.2,0.6,0.54,0.0,70,97,17,1.44,0.56,0.078,177,221,1,41,0.0,64.85
"Crepe, fruit filled","Pancakes, waffles, French toast",183,4.56,26.38,16.25,1.2,6.95,1.741,2.935,1.797,67,0.1,0.183,0.787,0.069,11,52.2,3.8,0.9,0.92,0.0,50,80,10,0.93,0.48,0.052,111,179,0,0,0.0,61.2
"Tamale, sweet","Doughnuts, sweet rolls, pastries",256,2.22,35.61,15.44,2.3,12.57,3.029,5.02,3.692,0,0.177,0.108,1.354,0.112,12,2.3,0.0,0.0,0.77,0.0,49,60,25,1.4,0.49,0.062,73,265,0,0,0.0,48.45
"Tamale, sweet, with fruit","Doughnuts, sweet rolls, pastries",197,1.79,30.26,14.7,2.1,8.5,2.053,3.377,2.495,0,0.136,0.088,1.052,0.137,8,3.7,1.9,0.0,0.53,0.0,37,47,24,1.07,0.37,0.071,129,179,0,0,0.0,58.47
"Strudel, apple",Cakes and pies,274,3.3,41.1,25.75,2.2,11.2,2.044,3.267,5.315,6,0.04,0.025,0.33,0.046,22,17.4,1.7,0.0,1.42,0.0,15,33,9,0.42,0.19,0.03,149,135,0,0,0.0,43.5
"Strudel, berry",Cakes and pies,248,3.46,46.11,26.95,2.5,6.27,1.211,2.72,1.905,15,0.168,0.14,1.45,0.052,20,16.6,5.4,0.1,0.99,0.0,26,43,11,1.32,0.36,0.077,82,150,0,0,0.0,43.44
"Strudel, cherry",Cakes and pies,271,4.23,43.14,27.66,1.8,10.06,1.458,2.866,5.166,12,0.162,0.133,1.242,0.082,17,15.8,1.0,0.1,0.68,0.0,30,64,22,1.98,0.51,0.199,117,136,0,0,0.0,41.78
"Strudel, cheese",Cakes and pies,294,8.0,39.9,21.12,0.7,11.69,5.285,3.728,1.681,60,0.155,0.326,1.199,0.071,19,30.1,0.6,0.3,0.68,0.0,153,139,19,1.16,0.62,0.041,179,192,0,0,0.0,39.03
"Strudel, peach",Cakes and pies,206,3.14,38.0,23.2,1.9,5.22,1.003,2.28,1.567,13,0.138,0.117,1.522,0.035,17,15.0,2.9,0.3,1.04,0.0,21,45,12,1.2,0.38,0.087,110,133,0,0,0.0,52.87
"Strudel, cheese and fruit",Cakes and pies,213,5.51,31.27,18.46,0.9,7.73,3.472,2.453,1.122,39,0.147,0.229,0.951,0.09,13,22.1,4.2,0.2,0.46,0.0,109,94,23,1.0,0.48,0.085,187,126,0,0,0.0,54.36
Baklava,Cakes and pies,413,5.62,38.58,13.14,2.1,27.23,12.569,8.143,4.704,47,0.247,0.172,1.791,0.111,22,14.1,1.3,0.0,0.83,0.0,27,90,25,1.89,0.58,0.225,134,354,0,0,0.0,27.09
Basbousa,Cakes and pies,265,4.15,44.07,30.4,0.5,8.46,2.361,3.289,2.174,3,0.131,0.179,1.008,0.026,19,7.6,0.2,0.1,0.52,0.0,113,95,12,0.94,0.5,0.037,123,83,0,0,0.0,42.38
"Turnover or dumpling, apple",Cakes and pies,348,3.64,43.55,15.81,1.3,18.08,4.453,7.329,5.123,0,0.21,0.163,1.851,0.024,34,4.5,0.8,0.0,1.14,0.0,8,41,9,1.64,0.26,0.061,62,324,0,0,0.0,33.67
"Turnover or dumpling, berry",Cakes and pies,351,3.77,45.37,16.18,1.9,17.69,4.359,7.13,5.029,0,0.226,0.166,1.935,0.033,36,5.8,3.2,0.0,1.3,0.0,8,41,10,1.7,0.3,0.072,65,314,0,0,0.0,32.1
"Turnover or dumpling, cherry",Cakes and pies,305,3.27,39.97,16.45,1.3,15.11,3.708,6.147,4.284,0,0.184,0.145,1.557,0.031,30,4.9,0.7,0.0,1.06,0.0,10,35,9,2.01,0.23,0.074,75,278,0,0,0.0,40.68
"Turnover or dumpling, lemon",Cakes and pies,301,3.47,37.0,14.11,0.7,15.67,3.953,6.462,4.293,51,0.174,0.143,1.39,0.029,28,34.1,2.1,0.3,1.06,0.0,12,47,7,1.37,0.3,0.048,40,284,0,0,0.0,42.88
"Turnover or dumpling, peach",Cakes and pies,336,3.95,43.34,14.94,1.6,16.61,4.09,6.701,4.711,0,0.214,0.167,2.137,0.023,34,6.0,1.2,0.0,1.32,0.0,8,47,11,1.77,0.34,0.082,84,336,0,0,0.0,34.9
"Turnover, guava",Cakes and pies,306,3.98,37.44,14.85,3.3,16.28,3.99,6.542,4.682,0,0.194,0.138,1.859,0.059,28,6.7,76.1,0.1,1.38,0.0,16,49,17,1.37,0.3,0.138,211,136,0,0,0.0,41.14
"Turnover, pumpkin",Cakes and pies,251,5.56,25.5,8.35,1.6,14.36,4.48,5.55,3.398,39,0.149,0.239,1.261,0.053,22,31.7,1.6,0.8,1.2,0.0,98,112,21,1.69,0.55,0.08,201,140,0,0,0.0,53.48
"Pastry, fruit-filled","Doughnuts, sweet rolls, pastries",393,4.57,54.3,25.93,4.4,19.36,3.797,8.823,5.533,17,0.215,0.207,2.051,0.118,24,20.5,0.9,0.1,1.11,0.0,30,86,33,1.73,0.8,0.257,365,8,0,0,0.0,20.4
"Pastry, made with bean or lotus seed paste filling, baked","Doughnuts, sweet rolls, pastries",333,6.8,67.71,36.51,2.7,4.21,0.851,1.056,1.861,45,0.267,0.233,2.05,0.049,39,38.4,0.2,0.2,0.39,0.0,19,85,20,2.21,0.6,0.098,116,88,0,0,0.0,20.6
"Pastry, made with bean paste and salted egg yolk filling, baked","Doughnuts, sweet rolls, pastries",332,8.38,57.1,30.56,2.2,8.03,2.335,2.878,2.268,222,0.247,0.279,1.714,0.097,32,143.7,0.2,1.1,0.76,0.0,38,137,18,2.31,0.89,0.095,115,547,0,0,0.0,24.45
"Pastry, Chinese, made with rice flour","Doughnuts, sweet rolls, pastries",244,2.46,45.16,19.09,1.1,6.04,0.875,1.864,2.956,0,0.054,0.009,1.0,0.15,0,2.9,0.0,0.0,0.64,0.0,20,48,22,0.39,0.44,0.09,55,8,0,0,0.0,45.93
"Pastry, cookie type, fried","Doughnuts, sweet rolls, pastries",389,5.79,35.42,12.84,1.0,25.24,7.617,9.273,7.027,102,0.251,0.247,1.693,0.068,29,61.1,1.0,0.9,2.22,0.0,73,111,12,1.55,0.6,0.055,120,77,0,0,0.0,32.77
"Pastry, Italian, with cheese","Doughnuts, sweet rolls, pastries",265,7.38,34.86,13.08,0.8,10.81,5.131,2.712,2.043,38,0.172,0.311,1.326,0.076,24,18.8,0.0,0.2,0.64,0.0,145,131,20,1.23,0.56,0.049,184,67,1,9,0.0,45.9
"Pastry, puff","Doughnuts, sweet rolls, pastries",558,7.4,45.7,0.75,1.5,38.5,5.502,8.828,22.228,0,0.323,0.258,3.8,0.019,46,6.2,0.0,0.0,0.55,0.0,10,60,16,2.6,0.54,0.115,62,253,0,0,0.0,7.4
"Pastry, puff, custard or cream filled, iced or not iced","Doughnuts, sweet rolls, pastries",409,5.86,29.89,4.7,0.8,29.78,8.191,7.051,12.86,39,0.195,0.227,2.165,0.033,26,18.7,0.1,0.6,0.55,0.0,45,73,13,1.55,0.48,0.07,90,166,0,0,0.0,33.6
Cheese pastry puffs,"Doughnuts, sweet rolls, pastries",264,9.27,13.03,0.25,0.4,19.36,5.851,7.713,4.275,111,0.115,0.289,0.895,0.057,17,66.0,0.0,1.2,1.7,0.0,122,138,12,1.24,0.98,0.051,81,557,0,0,0.0,56.32
"Pastry, mainly flour and water, fried","Doughnuts, sweet rolls, pastries",430,7.75,59.25,15.68,3.7,18.11,4.197,6.064,6.498,0,0.45,0.268,4.167,0.057,67,7.5,0.0,0.0,1.25,0.0,145,194,21,3.5,0.52,0.101,121,693,0,0,0.0,12.54
"Empanada, Mexican turnover, fruit-filled",Cakes and pies,332,4.7,42.17,6.96,2.2,16.25,5.423,5.995,3.726,10,0.268,0.207,2.381,0.034,44,6.6,1.4,0.0,0.94,0.0,62,71,12,2.22,0.33,0.076,90,418,0,0,0.0,35.15
"Empanada,  Mexican turnover, pumpkin",Cakes and pies,288,4.57,41.7,8.78,2.1,11.63,2.894,4.637,3.305,0,0.249,0.198,2.295,0.037,41,7.3,1.2,0.0,1.04,0.0,67,72,17,2.49,0.35,0.098,119,401,0,0,0.0,40.36
"Breakfast pastry, NFS","Doughnuts, sweet rolls, pastries",371,5.4,47.8,27.53,1.9,18.5,4.86,10.026,2.364,114,0.263,0.22,1.992,0.043,31,21.8,3.9,0.0,0.34,0.0,46,89,15,1.77,0.54,0.065,83,445,0,0,0.0,27.1
"Danish pastry, plain or spice","Doughnuts, sweet rolls, pastries",403,7.0,44.6,19.78,1.3,22.4,5.681,12.515,2.933,21,0.3,0.263,2.867,0.038,35,21.8,0.1,0.0,0.39,0.0,71,107,19,1.96,0.72,0.1,125,414,0,0,0.0,24.3
"Danish pastry, with fruit","Doughnuts, sweet rolls, pastries",371,5.4,47.8,27.53,1.9,18.5,4.86,10.026,2.364,114,0.263,0.22,1.992,0.043,31,21.8,3.9,0.0,0.34,0.0,46,89,15,1.77,0.54,0.065,83,445,0,0,0.0,27.1
"Danish pastry, with cheese","Doughnuts, sweet rolls, pastries",374,8.0,37.2,6.95,1.0,21.9,6.794,11.313,2.575,23,0.19,0.26,2.0,0.04,35,20.1,0.1,0.0,0.35,0.0,35,108,15,1.8,0.7,0.089,98,417,0,0,0.0,31.4
"Doughnut, NFS","Doughnuts, sweet rolls, pastries",426,5.52,49.52,23.51,1.8,22.86,9.852,7.567,3.601,20,0.336,0.232,2.648,0.041,69,31.8,0.6,0.0,1.63,0.0,69,178,16,2.36,0.54,0.086,113,378,0,0,0.0,20.62
"Doughnut, cake type, plain","Doughnuts, sweet rolls, pastries",434,5.31,47.06,18.15,1.7,24.93,11.105,8.544,3.915,10,0.39,0.301,2.91,0.05,76,37.3,0.0,0.0,1.99,0.0,40,260,17,2.53,0.5,0.09,134,477,0,0,0.0,20.82
"Doughnut, chocolate","Doughnuts, sweet rolls, pastries",417,5.2,51.95,26.05,3.7,22.44,9.276,7.542,4.491,7,0.293,0.297,2.324,0.045,56,28.6,0.0,0.0,1.77,0.0,38,243,46,2.81,0.84,0.319,207,388,15,137,0.0,18.48
"Doughnut, cake type, powdered sugar","Doughnuts, sweet rolls, pastries",431,4.9,51.12,24.28,1.6,23.01,10.251,7.887,3.614,9,0.36,0.279,2.686,0.046,70,34.4,0.0,0.0,1.84,0.0,37,240,16,2.34,0.46,0.084,124,440,0,0,0.0,19.24
"Doughnut, cake type, with icing","Doughnuts, sweet rolls, pastries",431,4.25,51.23,27.14,1.4,23.19,9.479,7.807,4.722,8,0.314,0.301,2.372,0.04,61,30.3,0.0,0.0,1.9,0.0,33,212,14,2.06,0.41,0.072,114,418,0,0,0.0,19.67
"Doughnut, cake type, chocolate icing","Doughnuts, sweet rolls, pastries",427,4.47,50.29,26.06,1.5,23.46,9.989,8.639,3.577,8,0.315,0.244,2.352,0.041,61,31.2,0.0,0.0,1.9,0.0,34,224,18,2.31,0.46,0.112,146,418,0,16,0.0,20.06
"Doughnut, chocolate, with chocolate icing","Doughnuts, sweet rolls, pastries",413,5.42,51.01,24.97,3.9,22.72,9.787,8.374,3.346,7,0.294,0.24,2.303,0.046,56,29.5,0.0,0.0,1.78,0.0,39,255,50,3.06,0.88,0.359,239,388,16,153,0.0,18.87
Doughnut holes,"Doughnuts, sweet rolls, pastries",426,5.52,49.52,23.51,1.8,22.86,9.852,7.567,3.601,20,0.336,0.232,2.648,0.041,69,31.8,0.6,0.0,1.63,0.0,69,178,16,2.36,0.54,0.086,113,378,0,0,0.0,20.62
Churros,"Doughnuts, sweet rolls, pastries",419,6.05,48.87,23.38,2.6,22.21,9.247,7.09,3.509,29,0.305,0.182,2.567,0.038,66,28.6,1.2,0.1,1.42,0.0,110,115,17,2.42,0.62,0.09,105,309,0,0,0.0,21.63
Beignet,"Doughnuts, sweet rolls, pastries",417,5.46,53.69,31.09,1.9,20.18,8.403,6.443,3.189,27,0.277,0.167,2.32,0.033,60,25.9,1.1,0.1,1.27,0.0,90,104,15,2.12,0.54,0.079,91,281,0,0,0.0,19.58
"Doughnut, yeast type","Doughnuts, sweet rolls, pastries",421,6.14,47.93,22.75,2.1,22.7,9.453,7.248,3.588,30,0.312,0.185,2.61,0.037,68,29.1,1.2,0.1,1.43,0.0,101,117,17,2.38,0.61,0.088,102,316,0,0,0.0,22.0
"Doughnut, yeast type, with chocolate icing","Doughnuts, sweet rolls, pastries",416,5.13,50.98,29.74,1.9,21.68,8.668,7.602,3.316,24,0.252,0.151,2.112,0.031,54,24.7,1.0,0.1,1.46,0.0,82,109,18,2.19,0.55,0.11,121,289,0,16,0.0,21.0
"Doughnut, jelly","Doughnuts, sweet rolls, pastries",390,4.94,52.33,28.44,1.9,18.16,7.563,5.799,2.871,24,0.25,0.153,2.095,0.034,54,25.3,1.1,0.1,1.14,0.0,82,95,15,1.94,0.49,0.073,92,259,0,0,0.0,23.55
"Doughnut, custard-filled","Doughnuts, sweet rolls, pastries",363,5.2,42.86,21.59,1.7,18.92,7.766,6.256,2.888,24,0.253,0.162,2.099,0.033,54,24.5,1.0,0.1,1.2,0.0,91,102,14,1.92,0.52,0.074,95,287,0,0,0.0,31.93
"Doughnut, custard-filled, with icing","Doughnuts, sweet rolls, pastries",368,4.52,46.25,27.61,1.6,18.7,7.392,6.716,2.778,20,0.213,0.138,1.769,0.029,45,21.6,0.8,0.1,1.26,0.0,77,98,16,1.84,0.48,0.095,112,270,0,13,0.0,29.44
Breakfast tart,"Doughnuts, sweet rolls, pastries",385,4.01,71.83,31.0,1.8,9.02,3.091,2.186,3.36,0,0.519,0.495,6.174,0.495,36,8.4,0.0,0.0,0.74,0.0,12,71,11,4.35,0.36,0.062,86,311,0,0,0.0,14.04
"Breakfast tart, lowfat","Doughnuts, sweet rolls, pastries",372,3.99,76.8,4.87,1.5,5.99,1.393,3.338,0.878,0,0.285,0.549,3.8,0.38,47,8.4,3.8,0.0,0.53,0.0,44,93,44,3.42,0.28,0.073,66,361,0,0,0.0,12.04
"Coffee cake, crumb or quick-bread type","Doughnuts, sweet rolls, pastries",381,6.39,51.23,26.55,1.5,17.67,7.591,3.858,4.915,57,0.236,0.224,1.761,0.084,33,29.8,0.1,0.4,0.46,0.0,135,137,26,1.99,0.71,0.195,126,336,0,0,0.0,22.74
"Coffee cake, crumb or quick-bread type, with fruit","Doughnuts, sweet rolls, pastries",310,4.13,50.14,33.79,1.3,11.31,4.829,2.453,3.133,36,0.154,0.152,1.14,0.063,21,19.9,0.9,0.3,0.31,0.0,87,90,17,1.29,0.46,0.132,101,213,0,0,0.0,33.12
"Coffee cake, crumb or quick-bread type, cheese-filled","Doughnuts, sweet rolls, pastries",351,6.72,45.02,22.81,1.3,16.9,7.613,3.714,4.277,57,0.207,0.244,1.537,0.084,28,27.7,0.1,0.4,0.44,0.0,151,143,25,1.72,0.7,0.167,144,304,0,0,0.0,29.46
Cereal or granola bar (General Mills Fiber One Chewy Bar),Cereal bars,389,5.0,69.82,25.0,22.5,10.0,3.397,3.522,2.334,0,0.688,0.091,7.903,0.963,12,12.4,1.2,0.0,1.47,0.0,250,419,190,0.9,1.96,0.262,447,237,3,24,0.0,12.04
Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),Cereal bars,365,4.22,67.61,28.98,3.0,8.67,1.442,1.989,4.544,0,1.153,2.067,19.267,1.833,0,11.2,7.8,0.0,0.93,0.0,576,134,37,6.14,5.24,0.142,247,354,0,0,0.0,16.7
Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),Cereal bars,365,4.22,67.61,28.98,3.0,8.67,1.442,1.989,4.544,0,1.153,2.067,19.267,1.833,0,11.2,7.8,0.0,0.93,0.0,576,134,37,6.14,5.24,0.142,247,354,0,0,0.0,16.7
Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),Cereal bars,403,9.38,66.72,32.45,7.5,10.93,1.93,5.705,2.581,0,0.465,0.616,6.442,0.612,109,24.0,0.2,0.8,3.72,0.0,65,290,105,5.65,3.28,0.436,328,195,0,0,0.0,11.26
Milk 'n Cereal bar,Cereal bars,413,6.47,72.05,45.97,0.4,10.98,9.114,1.186,0.239,6,0.615,0.696,8.194,0.819,87,31.0,15.4,1.7,0.42,0.0,410,155,21,5.99,0.84,0.049,254,319,0,0,0.0,8.69
Cereal or granola bar (Kellogg's Special K bar),Cereal bars,409,9.09,72.73,31.8,1.8,9.09,0.0,6.567,2.049,0,0.682,0.773,9.091,0.909,0,22.4,0.0,0.0,2.94,0.0,31,136,46,2.56,1.78,0.185,143,428,0,0,0.0,7.5
Cereal or granola bar (Kashi Chewy),Nutrition bars,390,16.67,63.42,42.31,7.7,7.69,3.227,2.558,1.228,6,0.135,0.151,0.68,0.095,1,48.4,0.4,0.2,0.81,0.0,103,255,321,1.62,1.4,0.382,429,321,3,31,0.0,9.23
Cereal or granola bar (Kashi Crunchy),Nutrition bars,429,18.57,53.26,17.14,11.4,15.71,1.213,9.486,4.181,0,0.115,0.289,1.158,0.063,1,46.7,0.0,0.0,7.14,0.0,0,271,107,3.39,1.6,0.506,415,293,0,0,0.0,9.34
Cereal or granola bar (KIND Fruit and Nut Bar),Cereal bars,487,13.69,44.3,22.56,6.6,31.89,3.834,19.004,7.487,0,0.188,0.462,3.056,0.18,0,37.4,0.1,0.0,10.2,0.0,115,315,167,3.09,2.66,0.943,460,45,0,0,0.0,7.86
Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),Cereal bars,415,5.71,72.27,42.86,3.8,11.43,1.435,4.585,4.028,0,0.64,0.391,5.443,0.52,72,28.6,0.1,0.0,2.66,0.0,116,168,63,8.71,1.35,0.226,189,185,0,0,0.0,9.3
"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)",Cereal bars,423,5.71,74.29,40.0,4.4,11.43,1.372,6.372,3.476,0,0.905,0.542,7.302,0.708,112,19.6,0.0,0.0,1.7,0.0,286,191,62,1.03,1.58,0.173,168,271,0,0,0.0,7.18
Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),Cereal bars,487,9.14,61.14,33.14,2.9,22.86,6.857,9.083,5.141,0,0.357,0.528,3.413,0.32,33,49.1,0.3,0.0,6.89,0.0,57,272,102,1.44,1.77,0.339,390,414,0,0,0.0,3.7
Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),Cereal bars,471,10.1,64.4,28.57,5.3,19.8,2.37,4.38,12.05,0,0.264,0.119,1.581,0.085,0,22.0,0.9,0.0,2.09,0.0,61,277,97,2.95,2.03,0.392,336,294,0,0,0.0,3.9
Cereal or granola bar (Quaker Chewy Granola Bar),Cereal bars,418,5.65,70.2,28.92,3.8,16.57,6.061,6.967,1.576,0,0.169,0.082,0.765,0.066,0,16.7,0.0,0.0,0.31,0.0,41,176,64,2.19,1.3,0.273,237,291,0,0,0.0,6.45
Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),Cereal bars,408,4.17,79.17,29.17,4.2,8.33,2.083,2.945,1.929,0,0.189,0.076,1.064,0.122,0,24.4,0.5,0.0,2.23,0.0,333,152,71,1.5,1.23,0.307,224,313,5,57,0.0,6.23
Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),Cereal bars,412,5.55,69.4,20.8,3.1,12.5,5.008,5.303,1.44,0,0.19,0.116,1.049,0.089,0,15.5,0.1,0.0,1.52,0.0,417,159,48,2.03,1.34,0.163,199,312,0,1,0.0,11.65
Cereal or granola bar (Quaker Chewy Dipps Granola Bar),Cereal bars,480,7.52,64.96,37.61,3.2,20.42,8.693,3.499,7.051,0,0.132,0.097,1.007,0.115,0,20.2,0.3,0.1,4.19,0.0,65,162,55,1.16,1.2,0.217,231,269,0,3,0.0,5.56
Cereal or granola bar (Quaker Granola Bites),Cereal bars,451,7.17,66.27,30.0,5.7,17.5,9.888,3.194,2.546,0,0.199,0.146,2.318,0.143,7,31.2,0.2,0.0,2.51,0.0,41,216,69,1.56,1.92,0.247,285,167,0,0,0.0,7.88
"Snack bar, oatmeal",Cereal bars,389,6.67,75.47,31.54,4.6,6.67,1.299,1.531,2.559,36,0.5,0.567,6.667,0.667,54,47.3,0.9,0.1,2.25,0.0,333,167,69,6.0,1.42,0.173,238,367,0,0,0.0,9.86
"Cereal or Granola bar, NFS",Cereal bars,471,10.1,64.4,28.57,5.3,19.8,2.37,4.38,12.05,0,0.264,0.119,1.581,0.085,0,22.0,0.9,0.0,2.09,0.0,61,277,97,2.95,2.03,0.392,336,294,0,0,0.0,3.9
"Cereal or granola bar, lowfat, NFS",Cereal bars,408,4.17,79.17,29.17,4.2,8.33,2.083,2.945,1.929,0,0.189,0.076,1.064,0.122,0,24.4,0.5,0.0,2.23,0.0,333,152,71,1.5,1.23,0.307,224,313,5,57,0.0,6.23
"Cereal or granola bar, nonfat",Cereal bars,342,5.9,77.6,45.24,7.4,0.9,0.2,0.24,0.35,0,0.03,0.07,0.4,1.59,302,22.6,1.7,0.0,0.22,0.0,3,122,50,4.0,1.42,0.234,220,16,0,0,0.0,13.7
"Cereal or granola bar, reduced sugar, NFS",Cereal bars,412,5.55,69.4,20.8,3.1,12.5,5.008,5.303,1.44,0,0.19,0.116,1.049,0.089,0,15.5,0.1,0.0,1.52,0.0,417,159,48,2.03,1.34,0.163,199,312,0,1,0.0,11.65
"Cereal or granola bar, fruit and nut",Cereal bars,487,13.69,44.3,22.56,6.6,31.89,3.834,19.004,7.487,0,0.188,0.462,3.056,0.18,0,37.4,0.1,0.0,10.2,0.0,115,315,167,3.09,2.66,0.943,460,45,0,0,0.0,7.86
"Cereal or granola bar, peanuts , oats, sugar, wheat germ",Cereal bars,471,10.1,64.4,28.57,5.3,19.8,2.37,4.38,12.05,0,0.264,0.119,1.581,0.085,0,22.0,0.9,0.0,2.09,0.0,61,277,97,2.95,2.03,0.392,336,294,0,0,0.0,3.9
"Cereal or granola bar, chocolate coated, NFS",Cereal bars,480,7.52,64.96,37.61,3.2,20.42,8.693,3.499,7.051,0,0.132,0.097,1.007,0.115,0,20.2,0.3,0.1,4.19,0.0,65,162,55,1.16,1.2,0.217,231,269,0,3,0.0,5.56
"Cereal or granola bar, with coconut, chocolate coated",Cereal bars,531,5.2,55.2,34.27,6.2,32.2,22.72,4.97,3.1,0,0.14,0.08,0.42,0.12,0,12.8,0.5,0.0,0.3,0.0,42,154,56,1.75,1.17,0.319,254,152,3,41,0.0,6.1
"Cereal or granola bar with nuts, chocolate coated",Cereal bars,536,9.6,54.1,23.63,3.8,31.2,17.065,6.561,1.906,12,0.1,0.21,3.29,0.11,0,24.7,0.6,0.0,4.59,0.0,108,227,67,1.45,1.47,0.323,339,193,3,41,0.0,3.2
"Cereal or granola bar, oats, nuts, coated with non-chocolate coating",Cereal bars,455,8.6,60.13,34.0,4.3,20.0,5.668,9.491,3.643,0,0.102,0.36,1.318,0.072,0,27.1,0.2,0.0,7.6,0.0,136,192,95,1.49,1.41,0.337,320,486,0,0,0.0,8.74
"Cereal or granola bar, coated with non-chocolate coating",Cereal bars,508,10.2,53.4,23.74,2.8,31.1,17.01,6.54,1.9,12,0.1,0.21,3.29,0.106,0,24.7,0.6,0.0,4.17,0.0,108,227,67,1.45,1.47,0.323,339,193,6,42,0.0,3.2
"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating",Cereal bars,389,5.0,69.82,25.0,22.5,10.0,3.397,3.522,2.334,0,0.688,0.091,7.903,0.963,12,12.4,1.2,0.0,1.47,0.0,250,419,190,0.9,1.96,0.262,447,237,3,24,0.0,12.04
"Cereal or granola bar, with rice cereal",Cereal bars,417,3.4,80.5,19.36,0.0,9.0,1.4,2.5,5.1,0,0.7,0.8,9.1,0.9,199,0.0,0.0,0.0,0.0,0.0,3,42,13,2.2,0.5,0.1,39,351,0,0,0.0,5.9
"Breakfast bar, NFS",Cereal bars,376,4.4,72.8,35.1,2.1,7.5,1.5,5.0,0.9,0,1.0,1.1,13.5,1.4,95,34.3,0.0,0.0,0.76,0.0,41,103,27,4.86,4.1,0.1,197,337,0,0,0.0,14.5
"Breakfast bar, date, with yogurt coating",Cereal bars,348,3.7,70.9,46.36,4.6,7.3,1.123,3.003,2.772,0,0.158,0.217,1.874,0.075,25,14.6,0.3,0.0,0.65,0.0,64,62,27,2.9,0.39,0.147,207,350,0,0,0.0,16.5
"Breakfast bar, cereal crust with fruit filling, lowfat",Cereal bars,376,4.4,72.8,35.1,2.1,7.5,1.5,5.0,0.9,0,1.0,1.1,13.5,1.4,95,34.3,0.0,0.0,0.76,0.0,41,103,27,4.86,4.1,0.1,197,337,0,0,0.0,14.5
Nutrition bar (Balance Original Bar),Nutrition bars,415,28.0,48.73,34.89,3.1,12.0,1.149,8.115,1.969,1,1.628,1.708,8.991,0.89,0,91.2,11.2,1.6,5.84,2.42,543,465,119,10.9,3.52,0.771,678,253,4,47,0.0,7.76
Nutrition bar (Clif Bar),Nutrition bars,346,14.71,65.44,31.62,7.4,5.88,1.471,1.093,2.182,0,0.551,0.375,4.412,0.588,0,46.2,88.2,0.0,0.24,0.0,368,294,147,6.62,4.41,0.441,412,195,0,0,0.0,11.0
Nutrition bar (Clif Kids Organic Zbar),Nutrition bars,416,5.55,74.72,30.56,8.3,9.72,2.721,2.447,3.319,0,0.411,0.1,0.478,0.073,16,22.5,39.1,0.0,0.98,0.53,444,244,82,2.7,1.15,0.187,333,375,1,9,0.0,7.74
Nutrition bar (PowerBar),Nutrition bars,363,14.15,69.63,30.07,5.7,3.11,1.32,1.05,0.589,0,8.06,1.92,32.6,2.2,615,18.4,92.3,0.0,8.28,8.28,504,614,248,11.7,9.96,1.43,362,308,0,0,0.0,9.83
Nutrition bar (Slim Fast Original Meal Bar),Nutrition bars,386,16.19,60.21,25.0,5.1,8.92,5.36,2.428,1.132,7,1.7,1.9,21.2,2.1,422,40.6,96.6,5.4,6.0,6.0,668,673,250,4.98,5.73,0.284,289,253,0,0,0.0,10.87
Nutrition bar (Snickers Marathon Protein Bar),Nutrition bars,415,25.0,50.5,28.75,12.5,12.5,6.25,2.645,2.892,6,1.875,2.125,25.0,2.5,500,1.7,75.0,3.8,16.88,16.0,625,375,175,10.13,6.56,0.977,188,238,3,28,0.0,9.0
Nutrition bar (South Beach Living Meal Bar),Nutrition bars,386,16.19,60.21,25.0,5.1,8.92,5.36,2.428,1.132,7,1.7,1.9,21.2,2.1,422,40.6,96.6,5.4,6.0,6.0,668,673,250,4.98,5.73,0.284,289,253,0,0,0.0,10.87
Nutrition bar (South Beach Living High Protein Bar),Nutrition bars,412,30.34,38.4,15.17,7.3,15.17,3.384,4.29,5.326,3,0.176,0.437,1.268,0.226,0,108.2,27.9,0.0,4.61,0.0,322,445,71,5.4,2.39,0.846,793,436,2,29,0.0,12.16
