Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener",Tea,3,0.03,0.72,0.02,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003,0.032,0.001,0,0.3,0.0,0.0,0.0,0.0,3,1,2,0.07,0.02,0.011,21,7,0,0,0.0,99.09
"Tea, iced, instant, black, decaffeinated, unsweetened",Tea,1,0.06,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0,0.0,0.003,0.032,0.001,0,0.3,0.0,0.0,0.0,0.0,3,1,2,0.01,0.02,0.012,18,4,0,0,0.0,99.62
"Tea, iced, instant, green, unsweetened",Tea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,26,0,0.0,0.01,0.005,19,7,12,0,0.0,99.88
"Tea, iced, instant, green, pre-sweetened with sugar",Tea,27,0.0,6.2,5.32,0.0,0.22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,31,0,0.0,0.01,0.005,12,21,5,1,0.0,93.54
"Tea, iced, instant, green, pre-sweetened with low calorie sweetener",Tea,4,0.0,0.93,0.93,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.5,0.0,0.0,0.0,1,0,1,0.0,0.01,0.005,5,6,4,0,0.0,98.71
"Tea, hot, herbal",Tea,1,0.0,0.2,0.0,0.0,0.0,0.002,0.001,0.005,0,0.01,0.004,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,2,0,1,0.08,0.04,0.015,9,1,0,0,0.0,99.7
"Tea, hot, hibiscus",Tea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.04,0.0,0,0.4,0.0,0.0,0.0,0.0,8,1,3,0.08,0.04,0.0,20,4,0,0,0.0,99.58
Corn beverage,Smoothies and grain drinks,44,0.84,9.4,0.19,0.5,0.21,0.026,0.046,0.098,0,0.052,0.041,0.529,0.019,15,1.0,0.0,0.0,0.01,0.0,3,11,5,0.49,0.09,0.017,16,135,0,0,0.0,89.07
"Tea, hot, chamomile",Tea,1,0.0,0.2,0.0,0.0,0.0,0.002,0.001,0.005,0,0.01,0.004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0,1,0.08,0.04,0.015,9,1,0,0,0.0,99.7
"Tea, hot, chai, with milk",Tea,50,1.58,8.97,8.73,0.1,0.98,0.564,0.203,0.033,4,0.027,0.072,0.054,0.029,0,8.6,0.0,0.5,0.02,0.0,61,49,7,0.02,0.21,0.007,92,20,9,1,0.0,88.11
