name,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
"Sausage, mild, breakfast links, turkey",18000.0,3800.0,160.0,639.0,33.9,0.004,0.0,3.692,0.0,0.165,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00079,0.208,0.5,0.000425,0.19,0.19,0.0016,32.0,0.111,1.07,16.0,0.0,155.0,229.0,0.0,2.98,15420.0,955.0,1076.0,1498.0,161.0,2517.0,765.0,481.0,146.0,802.0,1229.0,1453.0,447.0,612.0,642.0,686.0,686.0,175.0,609.0,819.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18090.0,3839.0,5158.0,4657.0,160.0,0.0,1810.0,0.0,0.0,63120.0
"Fish, dry heat, cooked, king, mackerel",2600.0,500.0,68.0,203.0,0.0,0.009,0.0,10.462,0.968,0.58,0.115,0.020975,0.252,0.0,0.0,0.0,0.0,0,0.018,0.51,1.6,0.0,0.0,0.0,0.0,40.0,0.033,2.28,41.0,0.006,318.0,558.0,0.0468,0.72,26000.0,1572.0,1556.0,2662.0,279.0,3881.0,1248.0,765.0,0.0,1198.0,2113.0,2388.0,770.0,1015.0,919.0,1061.0,1140.0,291.0,878.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.0,465.0,979.0,589.0,68.0,0.0,1640.0,0.0,0.0,69040.0
"Candies, milk chocolate coated raisins",15000.0,10000.0,3.0,36.0,26.3,0.008,0.0,0.4,0.264,0.161,0.084,0.002275,0.029,0.0,0.0,0.0,0.003,0,0.00037,0.074,0.2,0.0,0.29,0.29,0.0039,86.0,0.373,1.71,45.0,0.358,143.0,514.0,0.0026,1.25,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68400.0,3100.0,62220.0,0.0,0.0,0.0,0.0,0.0,0.0,14800.0,10272.0,3134.0,571.0,3.0,0.0,1500.0,10.0,122.0,11200.0
"Candies, milk chocolate coated peanuts",34000.0,15000.0,9.0,41.0,47.8,0.051,0.0,4.249,0.744,0.174,0.116,0.003275,0.041,0.0,0.0,0.0,0.004,0,0.00053,0.1,0.0,0.0,2.4,2.4,0.004,104.0,0.544,1.31,96.0,0.945,212.0,502.0,0.0054,2.6,13100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49700.0,4700.0,37590.0,0.0,0.0,0.0,0.0,0.0,0.0,33500.0,14600.0,12920.0,4330.0,9.0,0.0,1800.0,14.0,145.0,1900.0
"Grapefruit, Florida, pink and red, raw",100.0,0.0,0.0,0.0,0.0,0.009,0.0,0.2,0.283,0.02,0.04,0.006475,0.013,0.0,0.0,0.0,0.0,0,0.0,0.042,37.0,0.0,0.0,0.0,0.0,15.0,0.044,0.12,8.0,0.01,9.0,127.0,0.0014,0.07,550.0,17.0,62.0,98.0,6.0,141.0,11.0,6.0,0.0,6.0,10.0,14.0,5.0,33.0,45.0,20.0,9.0,6.0,6.0,11.0,7500.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.0,13.0,24.0,0.0,0.0,290.0,0.0,0.0,91560.0
"PIZZA HUT, parmesan garlic, breadstick",13000.0,3000.0,7.0,539.0,0.0,0.147,0.0,7.08,0.39,0.56,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.103,0.0,0.0,0.0,0.0,0.0,87.0,0.107,4.65,22.0,0.488,129.0,132.0,0.022,1.02,12200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44480.0,2400.0,1110.0,0.0,0.0,0.0,0.0,1110.0,0.0,12880.0,2966.0,2778.0,6160.0,7.0,0.0,2050.0,0.0,0.0,28380.0
"MORI-NU, lite extra firm, silken, Tofu",700.0,100.0,0.0,98.0,0.0,0.0,0.0,0.11,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.129,0.79,10.0,0.0,83.0,57.0,0.0,0.26,7000.0,280.0,527.0,809.0,93.0,1462.0,288.0,175.0,0.0,324.0,544.0,428.0,88.0,363.0,367.0,347.0,238.0,96.0,251.0,321.0,1000.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,116.0,118.0,395.0,0.0,0.0,400.0,0.0,0.0,90900.0
"Frankfurter, low fat, meat and poultry",2800.0,1000.0,44.0,983.0,76.0,0.003,0.0,3.16,0.0,0.17,0.3,7.500000000000001e-05,0.001,0.0,0.0,0.0,0.0,0,0.00054,0.27,0.4,0.0001,0.2,0.2,0.0003,12.0,0.063,0.91,18.0,0.0,155.0,261.0,0.0222,1.93,15500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,970.0,1190.0,360.0,44.0,0.0,3400.0,0.0,0.0,69900.0
"Cookies, sugar free, dry mix, brownies",13000.0,2000.0,0.0,83.0,3.3,0.048,0.045,1.24,0.091,0.109,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,12.0,0.026,1.52,4.0,0.201,57.0,335.0,0.002,0.14,2900.0,96.0,121.0,156.0,56.0,830.0,104.0,56.0,0.0,109.0,189.0,109.0,44.0,136.0,275.0,144.0,87.0,41.0,87.0,136.0,80400.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,2018.0,5233.0,4577.0,0.0,0.0,700.0,0.0,0.0,3500.0
"Candies, starch jelly pieces, gumdrops",0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.01,0.012,0.013,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,3.0,0.012,0.4,1.0,0.01,1.0,5.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98900.0,100.0,58970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1000.0
