Name,Category,Energy (kcal),Protein (mg),Carbohydrate (mg),"Sugars, total(mg)","Fiber, total dietary (mg)",Total Fat (mg),"Fatty acids, total saturated (mg)",Cholesterol (mg),Niacin (mg),Folic acid ((mg)),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (mg),Water(mg)
"Yogurt, NS as to type of milk, plain","Yogurt, regular",63,5250,7040,7040,0,1550,1000,6,0.114,0,15.2,0.8,0.03,183,144,17,234,70,0,0,0,85060
"Yogurt, whole milk, plain","Yogurt, regular",61,3470,4660,4660,0,3250,2096,13,0.075,0,15.2,0.5,0.06,121,95,12,155,46,0,0,0,87890
"Yogurt, low fat milk, plain","Yogurt, regular",63,5250,7040,7040,0,1550,1000,6,0.114,0,15.2,0.8,0.03,183,144,17,234,70,0,0,0,85060
"Yogurt, nonfat milk, plain","Yogurt, regular",56,5730,7680,7680,0,180,116,2,0.124,0,15.2,0.9,0,199,157,19,255,77,0,0,0,85220
"Yogurt, Greek, NS as to type of milk, plain","Yogurt, Greek",73,9950,3940,3560,0,1920,1230,10,0.197,0,15.2,0.8,0.04,115,137,11,141,34,0,0,0,83560
"Yogurt, Greek, whole milk, plain","Yogurt, Greek",97,9000,3980,4000,0,5000,2395,13,0.208,0,15.1,0,0.01,100,135,11,141,35,0,0,0,81300
"Yogurt, Greek, low fat milk, plain","Yogurt, Greek",73,9950,3940,3560,0,1920,1230,10,0.197,0,15.2,0.8,0.04,115,137,11,141,34,0,0,0,83560
"Yogurt, Greek, nonfat milk, plain","Yogurt, Greek",61,10300,3640,3270,0,370,108,5,0.211,0,15.1,0,0.01,111,136,11,141,36,0,0,0,85000
"Yogurt, NS as to type of milk, fruit","Yogurt, regular",89,4660,14460,12010,100,1370,881,5,0.105,0,14.6,1.8,0.04,163,129,15,215,65,0,0,0,78510
"Yogurt, whole milk, fruit","Yogurt, regular",87,3100,12360,9920,100,2870,1845,11,0.07,0,14.6,1.5,0.07,109,86,11,146,44,0,0,0,81000
"Yogurt, low fat milk, fruit","Yogurt, regular",89,4660,14460,12010,100,1370,881,5,0.105,0,14.6,1.8,0.04,163,129,15,215,65,0,0,0,78510
"Yogurt, nonfat milk, fruit","Yogurt, regular",83,5090,15020,12580,100,170,103,2,0.113,0,14.6,1.8,0.01,177,140,17,234,72,0,0,0,78650
"Yogurt, Greek, NS as to type of milk, fruit","Yogurt, Greek",105,8170,12290,11230,1000,2570,1599,12,0.205,0,14,0.7,0.02,88,109,10,129,33,0,0,0,76410
"Yogurt, Greek, whole milk, fruit","Yogurt, Greek",106,7330,12290,12000,0,3000,1599,10,0.205,0,14.3,0,0.07,100,109,10,113,37,0,0,0,76810
"Yogurt, Greek, low fat milk, fruit","Yogurt, Greek",105,8170,12290,11230,1000,2570,1599,12,0.205,0,14,0.7,0.02,88,109,10,129,33,0,0,0,76410
"Yogurt, Greek, nonfat milk, fruit","Yogurt, Greek",83,8060,12200,11500,600,150,103,4,0.208,0,14,0.2,0.02,97,113,10,133,32,0,0,0,79000
"Yogurt, NS as to type of milk, flavors other than fruit","Yogurt, regular",73,5090,9820,9820,0,1510,970,6,0.111,0,14.7,0.8,0.03,178,140,16,227,68,0,0,0,82510
"Yogurt, whole milk, flavors other than fruit","Yogurt, regular",77,3300,9410,9420,0,3100,1991,12,0.071,0,14.4,0.5,0.06,115,90,11,147,44,0,0,0,83500
"Yogurt, low fat milk, flavors other than fruit","Yogurt, regular",73,5090,9820,9820,0,1510,970,6,0.111,0,14.7,0.8,0.03,178,140,16,227,68,0,0,0,82510
"Yogurt, nonfat milk, flavors other than fruit","Yogurt, regular",66,5560,10440,10440,0,180,113,2,0.12,0,14.7,0.9,0,193,152,18,247,75,0,0,0,82660
"Yogurt, Greek, NS as to type of milk, flavors other than fruit","Yogurt, Greek",95,8640,9540,9540,0,2500,1465,5,0.201,0,33.4,0,0.02,100,119,10,123,40,0,0,0,78760
"Yogurt, Greek, whole milk, flavors other than fruit","Yogurt, Greek",111,8470,9350,9350,0,4440,2674,10,0.197,0,33.2,0,0.08,98,117,10,121,39,0,0,0,77190
"Yogurt, Greek, low fat milk, flavors other than fruit","Yogurt, Greek",95,8640,9540,9540,0,2500,1465,5,0.201,0,33.4,0,0.02,100,119,10,123,40,0,0,0,78760
"Yogurt, Greek, nonfat milk, flavors other than fruit","Yogurt, Greek",78,8640,10370,9540,500,180,133,3,0.201,0,15.2,0,0.02,99,119,10,123,34,0,0,0,80260
"Yogurt, Greek, with oats","Yogurt, Greek",160,8900,22380,12070,1900,4290,1478,4,0.511,0,31.8,0.1,0.24,96,165,27,184,53,0,0,0,63610
"Yogurt, liquid","Yogurt, regular",72,3710,11810,9780,100,1090,701,4,0.083,0,11.7,1.4,0.03,131,103,12,171,53,0,0,0,82570
"Chipotle dip, yogurt based","Dips, gravies, other sauces",189,7930,3330,2970,0,15990,3219,16,0.177,0,18.6,3.4,0.68,92,111,9,119,636,0,0,0,70610
"Dill dip, yogurt based","Dips, gravies, other sauces",191,8160,3760,2990,300,16030,3232,16,0.25,0,19.4,1.9,0.75,103,115,13,141,641,0,0,0,69810
"Onion dip, yogurt based","Dips, gravies, other sauces",159,6820,4070,3380,200,12880,2713,14,0.147,0,17.7,1.1,0.53,93,105,10,126,507,0,0,0,74420
"Ranch dip, yogurt based","Dips, gravies, other sauces",195,8480,4130,3410,300,16090,3267,17,0.257,0,20.5,1.9,0.75,114,123,14,154,646,0,0,0,69000
"Spinach dip, yogurt based","Dips, gravies, other sauces",158,7020,3600,3040,300,12940,2721,14,0.17,0,19.1,0.7,0.8,103,106,15,136,514,0,0,0,74550
Tzatziki dip,"Dips, gravies, other sauces",92,5350,3950,2920,200,6310,1838,7,0.16,0,11,2,0.52,64,86,11,139,307,0,0,0,83080
"Vegetable dip, yogurt based","Dips, gravies, other sauces",191,8160,3760,2990,300,16030,3232,16,0.25,0,19.4,1.9,0.75,103,115,13,141,641,0,0,0,69810
"Yogurt parfait, low fat, with fruit","Yogurt, regular",84,3360,15860,11680,1100,1010,525,3,0.714,0.038,11.9,14.3,0.25,105,93,17,189,49,0,0,0,78970
"Frozen yogurt, NFS",Ice cream and frozen dairy desserts,127,3000,21600,19920,0,3600,2326,13,0.07,0,23.1,0.7,0.09,100,89,10,156,63,0,0,0,71200
"Frozen yogurt, vanilla",Ice cream and frozen dairy desserts,127,3000,21600,19920,0,3600,2326,13,0.07,0,23.1,0.7,0.09,100,89,10,156,63,0,0,0,71200
"Frozen yogurt, chocolate",Ice cream and frozen dairy desserts,131,3000,21600,19240,2300,3600,2272,13,0.14,0,14.1,0,0.09,100,89,25,234,63,3,106,0,71200
"Frozen yogurt, soft serve, vanilla",Ice cream and frozen dairy desserts,159,4000,24200,24000,0,5600,3420,2,0.287,0,20.2,0.8,0.11,143,129,14,211,87,0,0,0,65300
"Frozen yogurt, soft serve, chocolate",Ice cream and frozen dairy desserts,160,4310,24870,23560,700,5760,3513,2,0.325,0,20,0.8,0.11,143,141,24,237,86,5,41,0,64050
Frozen yogurt sandwich,Ice cream and frozen dairy desserts,204,3900,34380,24300,800,6250,2805,10,0.767,0.01,20.9,0.5,0.25,83,100,21,170,192,2,88,0,54520
"Frozen yogurt bar, vanilla",Ice cream and frozen dairy desserts,127,3000,21600,19920,0,3600,2326,13,0.07,0,23.1,0.7,0.09,100,89,10,156,63,0,0,0,71200
"Frozen yogurt bar, chocolate",Ice cream and frozen dairy desserts,131,3000,21600,19240,2300,3600,2272,13,0.14,0,14.1,0,0.09,100,89,25,234,63,3,106,0,71200
"Frozen yogurt cone, chocolate",Ice cream and frozen dairy desserts,142,3200,23900,18710,2300,3730,2230,12,0.311,0.007,13.9,0,0.12,97,89,25,229,71,3,102,0,68560
"Frozen yogurt cone, vanilla",Ice cream and frozen dairy desserts,139,3200,23900,19360,100,3730,2282,12,0.244,0.007,22.6,0.7,0.12,97,89,11,154,71,0,0,0,68560
"Frozen yogurt cone, vanilla, waffle cone",Ice cream and frozen dairy desserts,143,3290,25280,20260,100,3610,2223,12,0.364,0.008,22.2,0.7,0.09,97,90,11,155,77,0,0,0,67190
"Frozen yogurt cone, chocolate, waffle cone",Ice cream and frozen dairy desserts,147,3290,25280,19620,2300,3610,2172,12,0.43,0.008,13.8,0,0.09,97,90,25,229,77,3,100,0,67190
"Chocolate milk, NFS","Flavored milk, nonfat",67,3390,13460,8390,0,0,0,2,0.164,0,15.6,1,0.04,127,101,13,182,79,1,22,0,82340
"Chocolate milk, ready to drink, whole","Flavored milk, whole",83,3170,10340,9540,800,3390,2104,12,0.125,0,17,0.9,0.07,112,101,13,167,60,1,23,0,82300
"Chocolate milk, ready to drink, reduced fat","Flavored milk, reduced fat",76,2990,12130,9550,700,1900,1177,8,0.164,0,17.1,0,0.04,109,102,14,169,66,1,22,0,82170
"Chocolate milk, ready to drink, fat free","Flavored milk, nonfat",67,3390,13460,8390,0,0,0,2,0.164,0,15.6,1,0.04,127,101,13,182,79,1,22,0,82340
"Chocolate milk, ready to drink, low fat","Flavored milk, lowfat",64,3460,10150,9940,100,1110,616,5,0.124,0,17,0.4,0,129,96,13,172,65,1,12,0,84500
"Chocolate milk, ready to drink, reduced sugar, NS as to milk","Flavored milk, lowfat",57,3430,7680,7290,0,1040,616,5,0.122,0,15.2,0,0,122,98,13,168,66,0,6,0,87090
"Chocolate milk, ready to drink, low fat (Nesquik)","Flavored milk, lowfat",64,3460,10150,9940,100,1110,616,5,0.124,0,17,0.4,0,129,96,13,172,65,1,12,0,84500
"Chocolate milk, ready to drink, fat free (Nesquik)","Flavored milk, nonfat",67,3390,13460,8390,0,0,0,2,0.164,0,15.6,1,0.04,127,101,13,182,79,1,22,0,82340
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)","Flavored milk, lowfat",64,3460,10150,9940,100,1110,616,5,0.124,0,17,0.4,0,129,96,13,172,65,1,12,0,84500
"Hot chocolate / Cocoa, ready to drink","Flavored milk, reduced fat",91,2720,16540,15180,0,1540,903,7,0.123,0,14.2,0.2,0.03,102,95,17,152,60,3,30,0,78430
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk","Flavored milk, nonfat",78,2790,16520,15310,0,60,40,2,0.128,0,14.2,0,0,107,98,18,159,61,3,30,0,79810
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",Milk substitutes,80,1210,16680,14620,200,980,115,0,0.232,0,11,0,1.14,122,32,16,99,75,3,30,0,80390
"Hot chocolate / Cocoa, ready to drink, with whipped cream","Flavored milk, reduced fat",103,2730,15890,14600,0,3180,1952,12,0.121,0,14.4,0.2,0.07,101,93,17,149,58,3,29,0,77440
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","Flavored milk, nonfat",90,2790,15870,14720,0,1770,1130,8,0.125,0,14.4,0,0.04,105,96,17,156,60,3,29,0,78760
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",Milk substitutes,92,1290,16020,14070,200,2640,1202,5,0.224,0,11.3,0,1.13,119,33,15,98,73,3,29,0,79320
"Chocolate milk, made from dry mix, NS as to type of milk","Flavored milk, reduced fat",72,3410,10130,9630,300,2010,1232,8,0.115,0,17,1.7,0.03,146,102,15,164,45,0,17,0,83630
"Chocolate milk, made from dry mix with whole milk","Flavored milk, whole",81,3360,9940,9550,300,3140,1885,11,0.111,0,16.9,1.7,0.05,143,100,14,158,44,0,17,0,82750
"Chocolate milk, made from dry mix with reduced fat milk","Flavored milk, reduced fat",72,3420,10160,9620,300,1920,1182,8,0.117,0,17.3,1.9,0.03,146,102,15,166,45,0,17,0,83680
"Chocolate milk, made from dry mix with low fat milk","Flavored milk, lowfat",65,3450,10430,9690,300,1030,673,5,0.118,0,16.5,1.7,0.02,146,102,15,166,45,0,17,0,84250
"Chocolate milk, made from dry mix with fat free milk","Flavored milk, nonfat",57,3500,10140,9770,300,220,186,3,0.123,0,17.3,1.7,0,152,106,15,174,47,0,17,0,85280
"Chocolate milk, made from dry mix with non-dairy milk",Milk substitutes,59,1680,10320,8990,500,1270,272,0,0.243,0,12.7,1.7,1.32,169,30,13,105,63,0,17,0,85960
"Chocolate milk, made from reduced sugar mix, NS as to type of milk","Flavored milk, reduced fat",63,3590,7610,5860,400,2100,1114,8,1.21,0,28.7,2.4,0.03,159,120,29,224,59,0,0,0,85520
"Chocolate milk, made from reduced sugar mix with whole milk","Flavored milk, whole",73,3530,7420,5780,400,3260,1780,11,1.205,0,28.5,2.4,0.05,157,118,29,217,58,0,0,0,84620
"Chocolate milk, made from reduced sugar mix with reduced fat milk","Flavored milk, reduced fat",63,3600,7640,5860,400,2010,1062,8,1.211,0,28.9,2.5,0.03,160,120,29,226,59,0,0,0,85580
"Chocolate milk, made from reduced sugar mix with low fat milk","Flavored milk, lowfat",56,3630,7910,5920,400,1100,543,5,1.212,0,28.2,2.4,0.02,160,120,29,226,59,0,0,0,86150
"Chocolate milk, made from reduced sugar mix with fat free milk","Flavored milk, nonfat",48,3670,7630,6010,400,270,47,3,1.217,0,28.9,2.4,0,166,124,30,233,61,0,0,0,87200
"Chocolate milk, made from reduced sugar mix with non-dairy milk",Milk substitutes,50,1820,7810,5200,600,1340,135,0,1.34,0,24.2,2.4,1.34,183,46,28,163,77,0,0,0,87890
"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)","Flavored milk, reduced fat",72,3410,10130,9630,300,2010,1232,8,0.115,0,17,1.7,0.03,146,102,15,164,45,0,17,0,83630
"Chocolate milk, made from dry mix with whole milk (Nesquik)","Flavored milk, whole",81,3360,9940,9550,300,3140,1885,11,0.111,0,16.9,1.7,0.05,143,100,14,158,44,0,17,0,82750
"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","Flavored milk, reduced fat",72,3420,10160,9620,300,1920,1182,8,0.117,0,17.3,1.9,0.03,146,102,15,166,45,0,17,0,83680
"Chocolate milk, made from dry mix with low fat milk (Nesquik)","Flavored milk, lowfat",65,3450,10430,9690,300,1030,673,5,0.118,0,16.5,1.7,0.02,146,102,15,166,45,0,17,0,84250
"Chocolate milk, made from dry mix with fat free milk (Nesquik)","Flavored milk, nonfat",57,3500,10140,9770,300,220,186,3,0.123,0,17.3,1.7,0,152,106,15,174,47,0,17,0,85280
"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",Milk substitutes,59,1680,10320,8990,500,1270,272,0,0.243,0,12.7,1.7,1.32,169,30,13,105,63,0,17,0,85960
"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)","Flavored milk, reduced fat",63,3590,7610,5860,400,2100,1114,8,1.21,0,28.7,2.4,0.03,159,120,29,224,59,0,0,0,85520
"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)","Flavored milk, whole",73,3530,7420,5780,400,3260,1780,11,1.205,0,28.5,2.4,0.05,157,118,29,217,58,0,0,0,84620
"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)","Flavored milk, reduced fat",63,3600,7640,5860,400,2010,1062,8,1.211,0,28.9,2.5,0.03,160,120,29,226,59,0,0,0,85580
"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)","Flavored milk, lowfat",56,3630,7910,5920,400,1100,543,5,1.212,0,28.2,2.4,0.02,160,120,29,226,59,0,0,0,86150
"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)","Flavored milk, nonfat",48,3670,7630,6010,400,270,47,3,1.217,0,28.9,2.4,0,166,124,30,233,61,0,0,0,87200
"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",Milk substitutes,50,1820,7810,5200,600,1340,135,0,1.34,0,24.2,2.4,1.34,183,46,28,163,77,0,0,0,87890
"Chocolate milk, made from syrup, NS as to type of milk","Flavored milk, reduced fat",80,2890,13180,12230,0,1730,1009,7,0.118,0,15.7,0.1,0.03,109,97,16,152,54,2,22,0,81430
"Chocolate milk, made from syrup with whole milk","Flavored milk, whole",88,2840,13000,12160,0,2770,1612,10,0.114,0,15.5,0,0.04,107,95,16,146,53,2,22,0,80620
"Chocolate milk, made from syrup with reduced fat milk","Flavored milk, reduced fat",79,2900,13210,12230,0,1650,962,7,0.12,0,15.9,0.2,0.03,109,97,16,154,54,2,22,0,81480
"Chocolate milk, made from syrup with low fat milk","Flavored milk, lowfat",73,2930,13450,12290,0,820,492,4,0.121,0,15.2,0,0.02,109,97,16,154,54,2,22,0,82000
"Chocolate milk, made from syrup with fat free milk","Flavored milk, nonfat",65,2970,13190,12370,0,70,42,3,0.125,0,15.9,0,0,114,100,16,161,56,2,22,0,82960
"Chocolate milk, made from syrup with non-dairy milk",Milk substitutes,67,1290,13360,11640,200,1040,122,0,0.236,0,11.6,0,1.22,130,30,14,97,70,2,22,0,83580
"Chocolate milk, made from light syrup, NS as to type of milk","Flavored milk, reduced fat",63,3100,8600,7860,0,1860,1018,7,0.119,0,15.8,0.1,0.03,111,97,15,161,47,1,24,0,85670
"Chocolate milk, made from light syrup with whole milk","Flavored milk, whole",72,3040,8420,7790,0,2920,1627,10,0.114,0,15.7,0,0.04,109,95,15,155,46,1,24,0,84850
"Chocolate milk, made from light syrup with reduced fat milk","Flavored milk, reduced fat",63,3100,8630,7860,0,1780,971,7,0.12,0,16,0.2,0.03,112,97,15,163,47,1,24,0,85720
"Chocolate milk, made from light syrup with low fat milk","Flavored milk, lowfat",57,3130,8870,7920,0,950,497,4,0.121,0,15.3,0,0.02,112,97,15,163,47,1,24,0,86240
"Chocolate milk, made from light syrup with fat free milk","Flavored milk, nonfat",49,3180,8610,8000,0,190,43,3,0.126,0,16,0,0,117,100,15,170,48,1,24,0,87210
"Chocolate milk, made from light syrup with non-dairy milk",Milk substitutes,51,1480,8780,7270,200,1170,123,0,0.237,0,11.7,0,1.23,132,29,14,105,63,1,24,0,87840
"Chocolate milk, made from sugar free syrup, NS as to type of milk","Flavored milk, reduced fat",50,3280,6040,4310,400,2000,1112,7,0.143,0,15.9,0.1,0.03,110,104,20,186,77,2,51,0,87770
"Chocolate milk, made from sugar free syrup with whole milk","Flavored milk, whole",58,3230,5870,4240,400,3050,1720,10,0.138,0,15.8,0,0.05,108,103,20,180,76,2,51,0,86940
