Name,Category,Energy (kcal),Protein (mg),Carbohydrate (mg),"Sugars, total(mg)","Fiber, total dietary (mg)",Total Fat (mg),"Fatty acids, total saturated (mg)",Cholesterol (mg),Niacin (mg),Folic acid ((mg)),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (mg),Water(mg)
"French toast, gluten free","Pancakes, waffles, French toast",261,7860,30530,9240,2200,11980,3398,160,1.433,0,107.1,0,1.34,110,122,13,117,308,0,0,0,48190
"French toast sticks, NFS","Pancakes, waffles, French toast",275,7530,40620,12870,1300,9120,1678,18,2.934,0.042,24.1,0,0.99,105,98,20,129,536,0,0,0,40790
"French toast sticks, plain, from frozen","Pancakes, waffles, French toast",275,7530,40620,12870,1300,9120,1678,18,2.934,0.042,24.1,0,0.99,105,98,20,129,536,0,0,0,40790
"French toast sticks, plain, from fast food / restaurant","Pancakes, waffles, French toast",400,7060,48480,11640,1600,20870,4693,0,3.029,0.048,16.4,0,1.03,62,102,22,131,471,0,0,0,21850
"French toast sticks, from school, NFS","Pancakes, waffles, French toast",162,9180,22610,3500,2900,3710,1072,69,2.217,0,71.2,0,0.46,122,166,43,188,257,0,0,0,62940
"French toast sticks, plain","Pancakes, waffles, French toast",340,6000,41210,9890,1400,17740,3989,0,2.575,0.041,13.9,0,0.88,53,87,19,111,400,0,0,0,33570
"French toast sticks, whole grain","Pancakes, waffles, French toast",269,11410,30350,10070,2700,11350,3270,160,2.488,0.006,111.4,0.1,1.21,122,180,35,174,315,0,0,0,45170
"Fried bread, Puerto Rican style","Pancakes, waffles, French toast",256,5030,41730,31280,500,8270,1637,56,1,0.014,42.3,0,0.89,53,78,13,94,276,0,0,0,43860
"Crepe, NFS","Pancakes, waffles, French toast",223,8780,21730,4550,600,10930,3368,139,1.283,0.022,101.4,0,0.78,97,155,16,165,283,0,0,0,57090
"Crepe, plain","Pancakes, waffles, French toast",223,8780,21730,4550,600,10930,3368,139,1.283,0.022,101.4,0,0.78,97,155,16,165,283,0,0,0,57090
Chinese pancake,"Pancakes, waffles, French toast",207,4050,45380,70,700,380,102,0,2.379,0.089,3.3,0,0.06,17,62,15,62,5,0,0,0,49800
"Dumpling, plain","Biscuits, muffins, quick breads",124,3310,20260,1230,700,3210,939,2,1.321,0.026,6.2,0,0.18,141,90,9,64,428,0,0,0,71090
Cake made with glutinous rice,Rice mixed dishes,276,2220,53660,31120,1200,6550,5480,0,0.869,0,2.9,0.3,0.07,24,56,19,85,35,0,0,0,37000
Cake or pancake made with rice flour and/or dried beans,Rice mixed dishes,128,6360,24980,1850,5800,350,56,0,0.676,0,21.7,0.2,0.04,10,67,25,233,252,0,0,0,67210
"Dosa (Indian), plain","Pancakes, waffles, French toast",210,5700,37040,300,1800,4050,587,0,1.739,0.057,14.3,0.3,0.53,16,72,14,104,309,0,0,0,51800
Cake made with glutinous rice and dried beans,Rice mixed dishes,187,8290,37340,1580,3200,340,61,0,1.6,0,16.8,0,0.07,29,93,42,238,972,0,0,0,50820
Funnel cake with sugar,"Doughnuts, sweet rolls, pastries",349,7700,43140,15900,1000,16230,3097,58,1.956,0.035,47.7,0,1.74,138,151,18,165,280,0,0,0,31240
Funnel cake with sugar and fruit,"Doughnuts, sweet rolls, pastries",377,5720,54920,21280,900,15450,2753,43,1.491,0.026,38.4,4.8,1.72,103,112,15,139,213,0,0,0,22530
"Pasta, vegetable, cooked","Pasta, noodles, cooked grains",128,4520,26550,1150,4300,110,16,0,1.068,0.059,5,0,0.21,11,50,19,31,99,0,0,0,68210
"Noodles, cooked","Pasta, noodles, cooked grains",137,4510,25010,400,1200,2060,417,29,2.065,0.077,25.5,0,0.17,12,76,21,38,236,0,0,0,67330
"Noodles, whole grain, cooked","Pasta, noodles, cooked grains",148,5960,29910,750,3900,1700,242,0,3.109,0,6.5,0,0.23,13,126,54,95,210,0,0,0,61470
"Noodles, vegetable, cooked","Pasta, noodles, cooked grains",131,5010,24100,710,2300,1560,359,33,1.465,0.043,25.5,0,0.55,19,57,24,37,243,0,0,0,68110
"Noodles, chow mein","Crackers, excludes saltines",521,10330,51900,250,1900,31720,4931,0,2.52,0,8.1,0,3.29,21,87,21,89,378,0,0,0,4930
"Long rice noodles, made from mung beans, cooked","Pasta, noodles, cooked grains",84,40,20660,0,100,10,4,0,0.034,0,22.4,0,0.03,7,7,1,2,5,0,0,0,79140
"Rice noodles, cooked","Pasta, noodles, cooked grains",107,1780,23870,30,1000,200,23,0,0.072,0,1.6,0,0.03,4,20,3,4,250,0,0,0,73380
"Pasta, cooked","Pasta, noodles, cooked grains",157,5760,30680,560,1800,920,175,0,1.679,0.066,6.4,0,0.06,7,58,18,44,232,0,0,0,61760
"Pasta, whole grain, cooked","Pasta, noodles, cooked grains",148,5950,29890,750,3900,1700,242,0,3.107,0,6.5,0,0.23,13,126,54,95,235,0,0,0,61430
"Pasta, gluten free","Pasta, noodles, cooked grains",179,3200,38050,0,1400,1000,150,0,0.24,0,1.7,0,0,2,33,11,24,4,0,0,0,57670
"Cereal, cooked, NFS",Grits and other cooked cereals,64,2210,11360,170,1700,1090,186,0,0.17,0,6.8,0,0.07,12,65,24,58,70,0,0,0,84770
"Barley, NS as to fat","Pasta, noodles, cooked grains",122,2250,28090,280,3800,440,93,0,2.053,0,13.3,0,0.01,11,54,22,93,187,0,0,0,68470
"Barley, no added fat","Pasta, noodles, cooked grains",122,2250,28090,280,3800,440,93,0,2.053,0,13.3,0,0.01,11,54,22,93,187,0,0,0,68470
"Barley, fat added","Pasta, noodles, cooked grains",139,2200,27230,270,3700,2720,1195,4,1.991,0,13.4,0,0.28,11,53,21,90,202,0,0,0,67070
"Buckwheat groats, NS as to fat","Pasta, noodles, cooked grains",92,3370,19860,900,2700,620,133,0,0.936,0,20,0,0.09,7,70,51,88,150,0,0,0,75350
"Buckwheat groats, no added fat","Pasta, noodles, cooked grains",92,3370,19860,900,2700,620,133,0,0.936,0,20,0,0.09,7,70,51,88,150,0,0,0,75350
"Buckwheat groats, fat added","Pasta, noodles, cooked grains",112,3220,18990,860,2600,3340,683,0,0.894,0,19.6,0,1.06,8,67,49,85,174,0,0,0,73610
"Grits, NS as to regular, quick, or instant, NS as to fat",Grits and other cooked cereals,71,1190,12200,90,700,1820,802,3,0.62,0.014,2.5,0,0.21,4,17,7,21,82,0,0,0,84390
"Grits, NS as to regular, quick, or instant, no added fat",Grits and other cooked cereals,58,1200,12410,90,700,280,53,0,0.631,0.014,2.3,0,0.03,4,17,7,21,70,0,0,0,85750
"Grits, NS as to regular, quick, or instant, fat added",Grits and other cooked cereals,71,1190,12200,90,700,1820,802,3,0.62,0.014,2.5,0,0.21,4,17,7,21,82,0,0,0,84390
"Grits, regular or quick, made with water, NS as to fat",Grits and other cooked cereals,71,1190,12200,90,700,1820,802,3,0.62,0.014,2.5,0,0.21,4,17,7,21,82,0,0,0,84390
"Grits, regular or quick, made with water, no added fat",Grits and other cooked cereals,58,1200,12410,90,700,280,53,0,0.631,0.014,2.3,0,0.03,4,17,7,21,70,0,0,0,85750
"Grits, regular or quick, made with water, fat added",Grits and other cooked cereals,71,1190,12200,90,700,1820,802,3,0.62,0.014,2.5,0,0.21,4,17,7,21,82,0,0,0,84390
"Grits, regular or quick, made with milk, NS as to fat",Grits and other cooked cereals,121,4530,17070,4980,700,3820,1965,11,0.73,0.014,19.6,0.1,0.24,127,119,18,178,117,0,0,0,73530
"Grits, regular or quick, made with milk, no added fat",Grits and other cooked cereals,110,4600,17370,5070,700,2300,1238,8,0.743,0.014,19.6,0.1,0.07,129,121,18,181,105,0,0,0,74700
"Grits, regular or quick, made with milk, fat added",Grits and other cooked cereals,121,4530,17070,4980,700,3820,1965,11,0.73,0.014,19.6,0.1,0.24,127,119,18,178,117,0,0,0,73530
"Grits, regular or quick, made with non-dairy milk, NS as to fat",Grits and other cooked cereals,100,2230,15950,3120,900,3000,1039,3,0.791,0.014,11.1,0,2.01,165,35,14,101,139,0,0,0,77820
"Grits, regular or quick, made with non-dairy milk, no added fat",Grits and other cooked cereals,88,2260,16230,3180,900,1470,295,0,0.805,0.014,11,0,1.86,167,35,14,102,127,0,0,0,79070
"Grits, regular or quick, made with non-dairy milk, fat added",Grits and other cooked cereals,100,2230,15950,3120,900,3000,1039,3,0.791,0.014,11.1,0,2.01,165,35,14,101,139,0,0,0,77820
"Grits, with cheese, NS as to fat",Grits and other cooked cereals,108,3560,11360,120,600,5270,2767,13,0.57,0.013,4,0,0.27,79,64,9,27,144,0,0,0,79070
"Grits, with cheese, no added fat",Grits and other cooked cereals,97,3600,11540,120,700,3920,2119,11,0.578,0.013,3.7,0,0.11,80,64,9,27,134,0,0,0,80220
"Grits, with cheese, fat added",Grits and other cooked cereals,108,3560,11360,120,600,5270,2767,13,0.57,0.013,4,0,0.27,79,64,9,27,144,0,0,0,79070
"Grits, instant, made with water, no added fat",Grits and other cooked cereals,65,1380,14840,290,800,400,68,0,1.618,0.025,2.7,0,0.01,74,14,6,26,215,0,0,0,82360
"Grits, instant, made with water, fat added",Grits and other cooked cereals,84,1360,14360,280,800,2830,1242,4,1.566,0.025,3.1,0,0.29,72,14,6,26,230,0,0,0,80410
"Grits, instant, made with water, NS as to fat",Grits and other cooked cereals,84,1360,14360,280,800,2830,1242,4,1.566,0.025,3.1,0,0.29,72,14,6,26,230,0,0,0,80410
"Grits, instant, made with milk, fat added",Grits and other cooked cereals,124,3980,18180,4110,800,4390,2155,11,1.652,0.025,16.5,0.1,0.32,168,94,15,148,257,0,0,0,71890
"Grits, instant, made with milk, no added fat",Grits and other cooked cereals,106,4090,18790,4250,800,2020,1012,7,1.707,0.025,16.5,0.1,0.04,173,97,15,153,244,0,0,0,73560
"Grits, instant, made with milk, NS as to fat",Grits and other cooked cereals,124,3980,18180,4110,800,4390,2155,11,1.652,0.025,16.5,0.1,0.32,168,94,15,148,257,0,0,0,71890
"Grits, instant, made with non-dairy milk, NS as to fat",Grits and other cooked cereals,107,2170,17300,2660,900,3750,1427,4,1.7,0.025,9.9,0,1.7,198,28,12,88,274,0,0,0,75260
"Grits, instant, made with non-dairy milk, no added fat",Grits and other cooked cereals,88,2230,17880,2740,900,1360,261,0,1.757,0.025,9.7,0,1.47,204,29,12,90,261,0,0,0,77040
"Grits, instant, made with non-dairy milk, fat added",Grits and other cooked cereals,107,2170,17300,2660,900,3750,1427,4,1.7,0.025,9.9,0,1.7,198,28,12,88,274,0,0,0,75260
"Cornmeal mush, NS as to fat",Grits and other cooked cereals,71,1110,12250,250,600,1820,783,3,0.69,0.019,1.6,0,0.2,4,15,6,21,83,0,0,0,84430
"Cornmeal mush, no added fat",Grits and other cooked cereals,58,1120,12470,250,600,280,35,0,0.702,0.02,1.4,0,0.02,4,15,6,21,71,0,0,0,85790
"Cornmeal mush, fat added",Grits and other cooked cereals,71,1110,12250,250,600,1820,783,3,0.69,0.019,1.6,0,0.2,4,15,6,21,83,0,0,0,84430
"Cornmeal, Puerto Rican Style",Grits and other cooked cereals,147,4110,28120,17750,500,2160,1132,8,0.703,0.017,13.8,0,0.05,120,111,16,168,151,0,0,0,64500
Cornmeal dumpling,"Biscuits, muffins, quick breads",167,5330,25390,1550,1100,4670,1263,69,1.442,0.037,48.6,0,0.46,88,107,14,101,351,0,0,0,62970
"Masa harina, cooked",Grits and other cooked cereals,97,2260,20500,430,1700,990,142,0,1.393,0.012,2.2,0,0.03,44,62,27,70,283,0,0,0,74940
"Millet, NS as to fat","Pasta, noodles, cooked grains",118,3500,23570,130,1300,1000,171,0,1.324,0,11.2,0,0.02,3,100,44,62,168,0,0,0,71100
"Millet, no added fat","Pasta, noodles, cooked grains",118,3500,23570,130,1300,1000,171,0,1.324,0,11.2,0,0.02,3,100,44,62,168,0,0,0,71100
"Millet, fat added","Pasta, noodles, cooked grains",140,3320,22390,120,1200,4050,791,0,1.256,0,11.1,0,1.12,4,95,42,60,194,0,0,0,69360
"Oatmeal, from fast food, plain",Oatmeal,80,2600,11900,690,1700,2540,1071,4,0.184,0,9,0.1,0.1,25,77,25,74,93,0,0,0,82300
"Oatmeal, from fast food, maple flavored",Oatmeal,110,2400,20340,9950,1600,2330,982,4,0.179,0,8.5,0.1,0.09,31,71,24,81,163,0,0,0,74100
"Oatmeal, from fast food, fruit flavored",Oatmeal,122,2280,24560,14220,1900,2140,889,4,0.211,0,8.5,0.4,0.17,31,68,23,105,147,0,0,0,70190
"Oatmeal, from fast food, other flavors",Oatmeal,110,2400,20340,9950,1600,2330,982,4,0.179,0,8.5,0.1,0.09,31,71,24,81,163,0,0,0,74100
"Oatmeal, NS as to regular, quick, or instant, NS as to fat",Oatmeal,76,2180,11170,160,1700,2610,924,3,0.168,0,7,0,0.25,12,65,24,57,82,0,0,0,83440
"Oatmeal, NS as to regular, quick, or instant, no added fat",Oatmeal,64,2210,11360,170,1700,1090,186,0,0.17,0,6.8,0,0.07,12,65,24,58,70,0,0,0,84770
"Oatmeal, NS as to regular, quick, or instant, fat added",Oatmeal,76,2180,11170,160,1700,2610,924,3,0.168,0,7,0,0.25,12,65,24,57,82,0,0,0,83440
"Oatmeal, regular or quick, made with water, NS as to fat",Oatmeal,76,2180,11170,160,1700,2610,924,3,0.168,0,7,0,0.25,12,65,24,57,82,0,0,0,83440
"Oatmeal, regular or quick, made with water, no added fat",Oatmeal,64,2210,11360,170,1700,1090,186,0,0.17,0,6.8,0,0.07,12,65,24,58,70,0,0,0,84770
"Oatmeal, regular or quick, made with water, fat added",Oatmeal,76,2180,11170,160,1700,2610,924,3,0.168,0,7,0,0.25,12,65,24,57,82,0,0,0,83440
"Oatmeal, regular or quick, made with milk, NS as to fat",Oatmeal,126,5480,15990,5000,1700,4590,2076,11,0.276,0,23.8,0.1,0.28,133,166,35,212,117,0,0,0,72700
"Oatmeal, regular or quick, made with milk, no added fat",Oatmeal,115,5570,16270,5090,1700,3100,1358,8,0.281,0,23.9,0.1,0.1,135,169,35,216,105,0,0,0,73830
"Oatmeal, regular or quick, made with milk, fat added",Oatmeal,126,5480,15990,5000,1700,4590,2076,11,0.276,0,23.8,0.1,0.28,133,166,35,212,117,0,0,0,72700
"Oatmeal, regular or quick, made with non-dairy milk, NS as to fat",Oatmeal,105,3210,14880,3160,1800,3770,1159,3,0.337,0,15.5,0,2.02,171,83,31,136,138,0,0,0,76940
"Oatmeal, regular or quick, made with non-dairy milk, no added fat",Oatmeal,93,3260,15140,3220,1900,2270,425,0,0.342,0,15.4,0,1.88,174,84,31,138,127,0,0,0,78160
"Oatmeal, regular or quick, made with non-dairy milk, fat added",Oatmeal,105,3210,14880,3160,1800,3770,1159,3,0.337,0,15.5,0,2.02,171,83,31,136,138,0,0,0,76940
"Oatmeal, instant, plain, made with water, NS as to fat",Oatmeal,88,2200,12740,280,1800,3700,1422,4,0.181,0,5.6,0,0.38,67,78,24,68,65,0,0,0,80720
"Oatmeal, instant, plain, made with water, no added fat",Oatmeal,68,2260,13150,280,1900,1300,255,0,0.186,0,5.2,0,0.1,69,80,25,69,45,0,0,0,82690
"Oatmeal, instant, plain, made with water, fat added",Oatmeal,88,2200,12740,280,1800,3700,1422,4,0.181,0,5.6,0,0.38,67,78,24,68,65,0,0,0,80720
"Oatmeal, instant, plain, made with milk, NS as to fat",Oatmeal,128,4820,16560,4110,1800,5270,2335,11,0.267,0,18.9,0.1,0.4,163,159,33,191,92,0,0,0,72210
"Oatmeal, instant, plain, made with milk, no added fat",Oatmeal,109,4960,17100,4250,1900,2920,1198,7,0.275,0,19,0.1,0.12,168,163,34,196,73,0,0,0,73880
"Oatmeal,  instant, plain, made with milk, fat added",Oatmeal,128,4820,16560,4110,1800,5270,2335,11,0.267,0,18.9,0.1,0.4,163,159,33,191,92,0,0,0,72210
"Oatmeal, instant, plain, made with non-dairy milk, NS as to fat",Oatmeal,111,3020,15670,2650,2000,4620,1608,4,0.315,0,12.3,0,1.78,193,93,30,130,109,0,0,0,75570
"Oatmeal, instant, plain, made with non-dairy milk, no added fat",Oatmeal,92,3100,16190,2740,2000,2260,447,0,0.325,0,12.2,0,1.55,199,95,31,134,91,0,0,0,77360
"Oatmeal, instant, plain, made with non-dairy milk, fat added",Oatmeal,111,3020,15670,2650,2000,4620,1608,4,0.315,0,12.3,0,1.78,193,93,30,130,109,0,0,0,75570
"Oatmeal, instant, maple flavored, NS as to fat",Oatmeal,118,2380,19640,7750,1800,3430,1270,4,2.855,0.034,6.2,0,0.39,69,79,24,93,152,0,0,0,73670
"Oatmeal, instant, maple flavored, no added fat",Oatmeal,102,2440,20230,7990,1900,1250,205,0,2.942,0.035,5.9,0,0.14,70,80,24,95,136,0,0,0,75230
"Oatmeal, instant, maple flavored, fat added",Oatmeal,118,2380,19640,7750,1800,3430,1270,4,2.855,0.034,6.2,0,0.39,69,79,24,93,152,0,0,0,73670
"Oatmeal, instant, fruit flavored, NS as to fat",Oatmeal,117,2290,19510,8070,1900,3380,1261,4,2.734,0.032,6.2,0,0.39,66,75,23,94,147,0,0,0,73970
"Oatmeal, instant, fruit flavored, no added fat",Oatmeal,100,2340,20090,8320,1900,1190,196,0,2.816,0.033,5.9,0,0.14,67,77,24,96,131,0,0,0,75550
"Oatmeal, instant, fruit flavored, fat added",Oatmeal,117,2290,19510,8070,1900,3380,1261,4,2.734,0.032,6.2,0,0.39,66,75,23,94,147,0,0,0,73970
"Oatmeal, instant, other flavors, NS as to fat",Oatmeal,118,2380,19640,7750,1800,3430,1270,4,2.855,0.034,6.2,0,0.39,69,79,24,93,152,0,0,0,73670
"Oatmeal, instant, other flavors, no added fat",Oatmeal,102,2440,20230,7990,1900,1250,205,0,2.942,0.035,5.9,0,0.14,70,80,24,95,136,0,0,0,75230
"Oatmeal, instant, other flavors, fat added",Oatmeal,118,2380,19640,7750,1800,3430,1270,4,2.855,0.034,6.2,0,0.39,69,79,24,93,152,0,0,0,73670
"Oatmeal, reduced sugar, plain, NS as to fat",Oatmeal,103,2290,16110,3930,1800,3570,1347,4,1.487,0.016,5.9,0,0.38,68,78,24,80,107,0,0,0,77270
"Oatmeal, reduced sugar, plain, no added fat",Oatmeal,85,2350,16620,4050,1900,1280,231,0,1.534,0.017,5.6,0,0.12,70,80,25,82,90,0,0,0,79030
"Oatmeal, reduced sugar, plain, fat added",Oatmeal,103,2290,16110,3930,1800,3570,1347,4,1.487,0.016,5.9,0,0.38,68,78,24,80,107,0,0,0,77270
"Oatmeal, made with milk and sugar, Puerto Rican style",Oatmeal,145,4630,26330,17090,1400,2620,1130,7,0.233,0,19.1,0.1,0.08,113,140,29,179,233,0,0,0,65020
"Oatmeal, reduced sugar, flavored, NS as to fat",Oatmeal,103,2290,16110,3930,1800,3570,1347,4,1.487,0.016,5.9,0,0.38,68,78,24,80,107,0,0,0,77270
"Oatmeal, reduced sugar, flavored, no added fat",Oatmeal,85,2350,16620,4050,1900,1280,231,0,1.534,0.017,5.6,0,0.12,70,80,25,82,90,0,0,0,79030
"Oatmeal, reduced sugar, flavored, fat added",Oatmeal,103,2290,16110,3930,1800,3570,1347,4,1.487,0.016,5.9,0,0.38,68,78,24,80,107,0,0,0,77270
"Oatmeal, multigrain, NS as to fat",Oatmeal,69,2100,11980,410,2000,1990,815,3,0.591,0,5.2,0,0.29,9,55,20,51,83,0,0,0,83360
"Oatmeal, multigrain, no added fat",Oatmeal,56,2120,12190,410,2000,460,76,0,0.601,0,5,0,0.11,9,55,20,51,70,0,0,0,84690
"Oatmeal, multigrain, fat added",Oatmeal,69,2100,11980,410,2000,1990,815,3,0.591,0,5.2,0,0.29,9,55,20,51,83,0,0,0,83360
"Quinoa, NS as to fat","Pasta, noodles, cooked grains",140,4180,20220,820,2700,4750,812,0,0.391,0,22.3,0,1.63,17,145,61,164,188,0,0,0,69670
"Quinoa, no added fat","Pasta, noodles, cooked grains",120,4380,21210,870,2800,1910,230,0,0.41,0,22.9,0,0.63,17,151,64,171,163,0,0,0,71320
"Quinoa, fat added","Pasta, noodles, cooked grains",140,4180,20220,820,2700,4750,812,0,0.391,0,22.3,0,1.63,17,145,61,164,188,0,0,0,69670
"Rice, cooked, NFS",Rice,129,2670,27990,50,400,280,77,0,1.467,0.055,2.1,0,0.04,10,43,12,35,245,0,0,0,68010
"Rice, white, cooked, NS as to fat",Rice,129,2670,27990,50,400,280,77,0,1.467,0.055,2.1,0,0.04,10,43,12,35,244,0,0,0,68010
"Rice, white, cooked, made with oil",Rice,151,2600,27190,50,400,3120,464,0,1.425,0.053,2,0,0.37,10,42,12,34,238,0,0,0,66070
"Rice, white, cooked, made with butter",Rice,146,2620,27200,50,400,2580,1539,6,1.426,0.053,2.6,0,0.1,11,42,12,34,256,0,0,0,66530
"Rice, white, cooked, made with margarine",Rice,142,2600,27220,50,400,2120,441,0,1.425,0.053,2.3,0,0.55,10,42,12,35,258,0,0,0,66990
"Rice, white, cooked, fat added, NS as to fat type",Rice,148,2600,27200,50,400,2760,782,2,1.425,0.053,2.3,0,0.33,10,42,12,34,247,0,0,0,66400
"Rice, white, cooked, no added fat",Rice,129,2670,27990,50,400,280,77,0,1.467,0.055,2.1,0,0.04,10,43,12,35,245,0,0,0,68010
"Rice, brown, cooked, NS as to fat",Rice,122,2730,25450,240,1600,960,259,0,2.548,0,9.2,0,0.17,3,102,39,86,201,0,0,0,69910
"Rice, brown, cooked, fat added, made with oil",Rice,140,2660,24860,230,1600,3270,571,0,2.489,0,8.9,0,0.44,3,100,38,84,197,0,0,0,68290
"Rice, brown, cooked, made with butter",Rice,136,2680,24860,240,1600,2830,1447,5,2.49,0,9.4,0,0.22,4,101,38,84,212,0,0,0,68660
"Rice, brown, cooked, made with margarine",Rice,133,2670,24880,230,1600,2460,552,0,2.489,0,9.2,0,0.59,4,100,38,84,213,0,0,0,69040
"Rice, brown, cooked, fat added, NS as to fat type",Rice,138,2670,24860,230,1600,2970,830,2,2.489,0,9.1,0,0.4,3,100,38,84,204,0,0,0,68550
"Rice, brown, cooked, no added fat",Rice,122,2730,25450,240,1600,960,259,0,2.548,0,9.2,0,0.17,3,102,39,86,202,0,0,0,69910
"Rice, cream of, cooked, no added fat",Grits and other cooked cereals,69,1170,15280,60,100,90,25,0,1.245,0,1.1,0,0.02,4,22,5,25,69,0,0,0,83140
"Rice, cooked, with milk",Rice,143,5140,25050,4920,300,2160,1208,8,1.168,0.039,14.9,0,0.06,133,130,18,184,357,0,0,0,65930
"Rice, sweet, cooked with honey",Rice,139,2520,31120,4890,400,260,72,0,1.383,0.051,2.1,0,0.04,10,40,11,36,344,0,0,0,64810
"Rice, creamed, made with milk and sugar, Puerto Rican style",Grits and other cooked cereals,87,2220,17460,8760,100,960,523,4,0.505,0.017,7.6,0,0.03,59,56,8,80,122,0,0,0,78660
"Rice, cream of, cooked, fat added",Grits and other cooked cereals,81,1160,15030,60,100,1600,753,3,1.225,0,1.4,0,0.2,4,22,5,25,81,0,0,0,81860
"Rice, cream of, cooked, NS as to fat",Grits and other cooked cereals,81,1160,15030,60,100,1600,753,3,1.225,0,1.4,0,0.2,4,22,5,25,81,0,0,0,81860
"Rice, cream of, cooked, made with milk",Grits and other cooked cereals,130,4410,19760,4810,100,3540,1885,11,1.332,0,17.9,0.1,0.23,124,122,16,178,115,0,0,0,71300
Congee,Rice,33,680,7160,10,100,70,20,0,0.375,0.014,0.5,0,0.01,6,11,4,9,253,0,0,0,91260
"Yellow rice, cooked, NS as to fat",Rice,88,1800,19100,450,500,450,0,0,0.898,0.02,2.2,0,0.06,12,42,30,195,340,0,0,0,77090
"Yellow rice, cooked, no added fat",Rice,88,1800,19100,450,500,450,0,0,0.898,0.02,2.2,0,0.06,12,42,30,195,340,0,0,0,77090
"Yellow rice, cooked, fat added",Rice,103,1760,18700,440,400,2430,375,0,0.878,0.02,2.4,0,0.28,11,41,29,191,351,0,0,0,75540
"Rice, white, cooked, glutinous",Rice,96,2010,20970,50,1000,190,39,0,0.288,0,2.1,0,0.04,2,8,5,10,227,0,0,0,76190
"Rice, wild, 100%, cooked, NS as to fat",Rice,122,3860,20630,710,1700,3080,424,0,1.244,0,9.9,0,0.56,3,79,31,98,231,0,0,0,71460
"Rice, wild, 100%, cooked, no added fat",Rice,100,3970,21210,730,1800,340,49,0,1.279,0,10.1,0,0.24,3,82,32,100,238,0,0,0,73480
"Rice, wild, 100%, cooked, fat added",Rice,122,3860,20630,710,1700,3080,424,0,1.244,0,9.9,0,0.56,3,79,31,98,231,0,0,0,71460
"Rice, white and wild, cooked, no added fat",Rice,79,1820,17220,110,500,160,38,0,1.001,0.028,2.3,0,0.05,9,34,12,34,401,0,0,0,79540
"Rice, brown and wild, cooked, no added fat",Rice,120,2890,24900,300,1600,880,232,0,2.384,0,9.3,0,0.18,3,100,38,87,206,0,0,0,70380
"Rice, white and wild, cooked, fat added",Rice,112,2170,20620,130,500,2140,412,0,1.197,0.034,3,0,0.28,11,41,14,41,510,0,0,0,73470
"Rice, white and wild, cooked, NS as to fat",Rice,112,2170,20620,130,500,2140,412,0,1.197,0.034,3,0,0.28,11,41,14,41,510,0,0,0,73470
"Rice, brown and wild, cooked, fat added",Rice,138,2820,24310,300,1600,3240,552,0,2.327,0,9.1,0,0.45,3,97,37,85,202,0,0,0,68700
"Rice, brown and wild, cooked, NS as to fat",Rice,112,2260,19810,250,1000,2690,502,0,1.701,0,6.5,0,0.38,6,82,34,69,510,0,0,0,73520
"Rice, white, cooked with fat, Puerto Rican style",Rice,199,2840,31900,50,500,6300,898,0,1.673,0.062,2.3,0,0.75,14,44,11,44,506,0,0,0,57330
"Cream of wheat, NS as to regular, quick, or instant, NS as to fat",Grits and other cooked cereals,64,1440,10390,30,500,1790,795,3,0.514,0.008,3.5,0,0.2,86,15,5,16,85,0,0,0,86000
"Cream of wheat, NS as to regular, quick, or instant, no added fat",Grits and other cooked cereals,51,1450,10570,30,500,210,33,0,0.522,0.008,3.2,0,0.02,87,15,5,16,72,0,0,0,87410
"Cream of wheat, NS as to regular, quick, or instant, fat added",Grits and other cooked cereals,64,1440,10390,30,500,1790,795,3,0.514,0.008,3.5,0,0.2,86,15,5,16,85,0,0,0,86000
"Cream of wheat, regular or quick, made with water, NS as to fat",Grits and other cooked cereals,64,1440,10390,30,500,1790,795,3,0.514,0.008,3.5,0,0.2,86,15,5,16,85,0,0,0,86000
"Cream of wheat, regular or quick, made with water, no added fat",Grits and other cooked cereals,51,1450,10570,30,500,210,33,0,0.522,0.008,3.2,0,0.02,87,15,5,16,72,0,0,0,87410
"Cream of wheat, regular or quick, made with water, fat added",Grits and other cooked cereals,64,1440,10390,30,500,1790,795,3,0.514,0.008,3.5,0,0.2,86,15,5,16,85,0,0,0,86000
"Cream of wheat, regular or quick, made with milk, NS as to fat",Grits and other cooked cereals,116,4840,15350,5010,500,3820,1980,11,0.626,0.008,20.8,0.1,0.23,211,120,16,176,120,0,0,0,74940
"Cream of wheat, regular or quick, made with milk, no added fat",Grits and other cooked cereals,104,4910,15620,5100,500,2270,1239,9,0.636,0.008,20.8,0.1,0.05,214,122,16,178,108,0,0,0,76150
"Cream of wheat, regular or quick, made with milk, fat added",Grits and other cooked cereals,116,4840,15350,5010,500,3820,1980,11,0.626,0.008,20.8,0.1,0.23,211,120,16,176,120,0,0,0,74940
"Cream of wheat, regular or quick, made with non-dairy milk, NS as to fat",Grits and other cooked cereals,94,2500,14200,3110,700,2980,1036,3,0.688,0.008,12.2,0,2.03,249,34,12,97,142,0,0,0,79310
"Cream of wheat, regular or quick, made with non-dairy milk, no added fat",Grits and other cooked cereals,81,2530,14460,3170,700,1420,279,0,0.7,0.008,12.1,0,1.88,253,34,12,98,130,0,0,0,80600
